ASIN Product_ID Product_Group Sales_Rank Estimated_Number_of_Sales Purchase_Price Buy_Box_Landed Low_New_Fba_Price Low_New_Mfn_Price Sell_Price Fulfillment_Subtotal Cost_Sub_Total Inbound_Shipping_Estimate Package_Weight Package_Height Package_Length Package_Width Package_Quantity Total_Offers New_FBA_Num_Offers New_MFN_Num_Offers Min Mult UM CA BWOT Class 
B01CHPLEB4 96069482918 Lawn_and_Garden 666379 5 10 15.99 20 15.99 15.99 9.03 11.43 0.24 0.6 0.31 20.98 6.81 1 1 0 1 2 1 EA SF SSF No 
B01CHPLEFU 96069482864 Lawn_and_Garden 668070 5 10 20 20 20 20 5.47 5.47 0.32 0.8 1.3 7.6 4.9 1 0 0 0 2 1 EA SF SSF No 
B01CUO4NVK 96069605584 Lawn_and_Garden 707904 5 23 46 46 46 46 5.47 5.47 0.52 1.3 1.9 14.7 5.1 1 0 0 0 1 1 EA ME SSD No 
B01EYO78Z2 96069970200 Home_Garden 2272125 5 9.5 8.79 8.79 19 8.79 4.95 6.27 0.34 0.85 3.4 7.1 4.9 1 2 2 0 2 1 EA GG SON No 
B01EZ6CKW0 96069970583 Home_Garden 3222814 5 13 30.99 26 30.99 30.99 5.52 10.17 0.58 1.45 3.7 9.1 7.3 1 1 0 1 2 1 EA GG SON No 
B01FS0IIM8 96069123545 Lawn_&_Patio 76675 1 10.5 24.85 24.85 21 24.85 5.85 9.58 1.2 3 1 11 10.8 1 2 2 0 2 1 EA GG SON No 
B01FXCPG4Y 96069139089 Home_Garden 404127 5 5 11.99 11.99 10 11.99 3.33 5.13 0.14 0.35 3 6.6 3.1 1 2 2 0 3 1 EA GG SON No 
B01GP0RVPU 96069002024 Kitchen 76675 1 11.5 23 23 51.49 51.49 5.47 13.19 0 1 6 6 6 2 1 0 1 2 1 EA GG SON No 
B01GQJA936 96069212133 Kitchen 653611 5 5 14.99 10 14.99 14.99 3.34 5.59 0.14 0.35 4.1 4.2 4.1 1 1 0 1 4 4 EA ME SSD No 
B01GTEWQF2 96069186045 Home_Garden 2927267 5 10.5 22.99 22.99 22.98 22.99 4.95 8.4 0.36 0.9 3.4 7.1 4.8 1 5 1 4 2 1 EA GG SON No 
B01GTEWQGG 96069186199 Home_Garden 2896864 5 11 22 22 22 22 5.47 5.47 0.34 0.86 3.54 7.17 4.96 1 0 0 0 2 1 EA GG SON No 
B01GTEWS8C 96069186366 Home_Garden 8354012 5 10.5 22.99 22.99 21 22.99 4.95 8.4 0.34 0.85 3.5 7.09 5.2 1 1 1 0 2 1 EA GG SON No 
B01GTEWSE6 96069970002 Home_Garden 3669371 5 9.5 20.99 20.99 19 20.99 4.95 8.1 0.36 0.9 3.5 7.1 5.1 1 1 1 0 2 1 EA GG SON No 
B01GTEWZMQ 96069186434 Home_Garden 2628385 5 9 20.99 20.99 18 20.99 3.52 6.67 0.24 0.6 3.6 5.3 4.8 1 1 1 0 2 1 EA GG SON No 
B01GTEWZSA 96069186397 Home_Garden 5517462 5 9 20.99 20.99 18 20.99 3.52 6.67 0.16 0.4 3.5 5.12 5 1 1 1 0 2 1 EA GG SON No 
B01GTEX8TU 96069186328 Home_Garden 2139133 5 14 23.83 23.83 28 23.83 4.99 8.56 0.55 1.38 3.54 9.25 7.13 1 2 2 0 2 1 EA GG SON No 
B01GTI762G 96069970170 Home_Garden 5697049 5 9.5 20.99 20.99 19 20.99 4.95 8.1 0.36 0.9 3.4 7.1 5 1 1 1 0 2 1 EA GG SON No 
B01GTI76HQ 96069970217 Home_Garden 3173504 5 9.5 19 19 19 19 5.47 5.47 0.36 0.9 3.5 7.2 4.9 1 0 0 0 2 1 EA GG SON No 
B01GTI7IRO 96069970385 Home_Garden 6210405 5 9.5 20.99 20.99 19 20.99 4.95 8.1 0.36 0.9 3.4 7.1 5 1 1 1 0 2 1 EA GG SON No 
B01GTI7J7I 96069970408 Home_Garden 5433383 5 9.5 20.99 20.99 19 20.99 4.95 8.1 0.36 0.9 3.5 7.1 5 1 1 1 0 2 1 EA GG SON No 
