ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B07THWQCQQ,96069660309,Kitchen,1004229,5,4.25,8.5,8.5,8.5,8.5,5.47,5.47,0.38,0.96,0.67,8.58,7.13,1,0,0,0,4,4,EA,SE,SON,No        
B07THWQDC3,96069660767,Kitchen,76675,1,5.5,15.67,15.67,11,15.67,5.42,7.77,0.8,2,2,2,2,6,1,1,0,4,4,EA,SE,SON,No        
B07THWQZFH,96069661337,Kitchen,1523680,5,10,23.52,23.52,20,23.52,5.92,9.45,1.33,3.33,6.69,6.85,6.77,6,1,1,0,2,1,EA,SE,SON,No        
B07THWZNQH,96069661276,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.92,9.45,1.3,3.25,6.65,6.69,6.69,6,1,1,0,2,1,EA,SE,SON,No        
B07THX29BR,96069660385,Home,76675,1,7.5,16.67,16.67,15,16.67,5.54,8.04,0.46,1.14,1.54,15.83,12.68,6,1,1,0,3,3,EA,SE,SON,No        
B07THX4GM7,96069662242,Kitchen,1076283,5,5.25,17.88,17.88,10.5,17.88,4.92,7.6,0.42,1.06,1.73,5.31,4.29,6,1,1,0,1,1,EA,SE,SON,No        
B07THXCBST,96069662594,Kitchen,1554609,5,5,10,10,10,10,5.47,5.47,0.29,0.72,3.5,4.53,4.33,1,0,0,0,4,4,EA,SE,SON,No        
B07THXCRLP,96069661818,Kitchen,1087226,5,5.25,10.5,10.5,10.5,10.5,5.47,5.47,0.42,1.04,1.57,5.28,4.29,1,0,0,0,1,1,EA,SE,SON,No        
B07THXF3X6,96069661313,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.47,9,0.8,2,5,5.5,5,6,1,1,0,2,1,EA,SE,SON,No        
B07THXH41H,96069660859,Kitchen,76675,1,5.5,15.05,15.05,11,15.05,4.94,7.2,0.44,1.1,3.54,5.43,5.16,6,1,1,0,4,4,EA,SE,SON,No        
B07THXSC5S,96069660835,Kitchen,76675,1,5.5,14.75,14.75,11,14.75,4.94,7.15,0.43,1.08,3.54,5.12,5.12,6,1,1,0,4,4,EA,SE,SON,No        
B07THXYBVS,96069660545,Kitchen,1129608,5,5,10,10,10,10,5.47,5.47,0.3,0.74,4.13,7.99,5.08,1,0,0,0,4,4,EA,SE,SON,No        
B07THY2C9Q,96069660781,Kitchen,76675,1,5.5,14.75,14.75,11,14.75,4.94,7.15,0.43,1.07,3.62,5.31,5.28,6,1,1,0,4,4,EA,SE,SON,No        
B07THY7NKV,96069661948,Kitchen,76675,1,5.25,17.88,17.88,10.5,17.88,5.42,8.1,0.8,2,2,2,2,6,1,1,0,1,1,EA,SE,SON,No        
B07THY9XJ9,96069661993,Kitchen,76675,1,5.25,17.88,17.88,10.5,17.88,5.42,8.1,0.8,2,2,2,2,6,1,1,0,1,1,EA,SE,SON,No        
B07THYH12R,96069660903,Kitchen,76675,1,5.5,15.05,15.05,11,15.05,4.94,7.2,0.44,1.09,3.54,5.28,5.2,6,1,1,0,4,4,EA,SE,SON,No        
B07THYHJD9,96069660842,Kitchen,76675,1,5.5,13.25,13.25,11,13.25,4.94,6.93,0.43,1.08,3.54,5.35,5.16,6,2,2,0,4,4,EA,SE,SON,No        
B07THYM3VF,96069686941,Home Garden,3421602,5,9,18,18,18,18,5.47,5.47,0.62,1.55,0.8,9.5,9.4,1,0,0,0,3,3,EA,SE,SON,No        
B07THYP5MZ,96069662747,Kitchen,1242441,5,5.25,17.88,17.88,10.5,17.88,4.91,7.59,0.41,1.03,1.57,5.31,4.33,6,1,1,0,1,1,EA,SE,SON,No        
B07THYXQZB,96069661214,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.92,9.45,1.34,3.34,6.65,6.77,6.69,6,1,1,0,2,1,EA,SE,SON,No        
B07THYYLN8,96069661238,Kitchen,76675,1,10,23.52,23.52,20,23.52,5.92,9.45,1.29,3.23,6.5,6.97,6.61,6,1,1,0,2,1,EA,SE,SON,No        
B07THYZ467,96069662884,Kitchen,76675,1,5.25,17.88,17.88,10.5,17.88,5.43,8.11,0.8,2,2,4,4,6,1,1,0,1,1,EA,SE,SON,No        
B07THZ15LP,96069662587,Kitchen,1453281,5,5,14.11,14.11,10,14.11,5.44,7.56,0.8,2,3.5,3.75,3.75,6,1,1,0,4,4,EA,SE,SON,No        
B07THZBSTJ,96069662280,Kitchen,992143,5,5.25,10.5,10.5,10.5,10.5,5.47,5.47,0.41,1.03,2.36,5.28,4.29,1,0,0,0,1,1,EA,SE,SON,No        
B07TJVNP2V,96069660910,Kitchen,76675,1,5.5,15.05,15.05,11,15.05,4.94,7.2,0.44,1.1,3.54,5.91,5.16,6,1,1,0,4,4,EA,SE,SON,No        
B07TJVSPS1,96069660149,Kitchen,768829,5,4.25,12.48,12.48,8.5,12.48,4.91,6.78,0.38,0.95,0.55,8.5,7.13,6,1,1,0,4,4,EA,SE,SON,No        
B07TJVVM3W,96069686910,Home,76675,1,9.5,22.58,22.58,19,22.58,5.5,8.89,1.02,2.54,1.34,13.9,10.39,6,1,1,0,3,3,EA,SE,SON,No        
B07TJVXMHR,96069660897,Kitchen,1580228,5,5.5,15.05,15.05,11,15.05,4.94,7.2,0.43,1.07,3.54,5.24,5.2,6,1,1,0,4,4,EA,SE,SON,No        
